kind,slot,atr_bin,pre_dir,N,V_pct,W_pct,drift_pct,Lambda_pct,N_pct,flat_pct,v_drift_sum,w15_mean_disp,w15_sharpe,w15_wr
low,NY_open,mid,up,42,11.9,31.0,2.4,38.1,0.0,16.7,14.3,11.57,0.203,66.7
low,NY_pre_open,mid,up,226,9.7,27.4,4.4,45.1,4.9,8.4,14.2,6.8,0.161,57.5
high,NY_pre_open,high,down,1328,10.8,22.4,3.2,39.8,7.2,16.6,14.1,9.38,0.152,56.0
high,Other,mid,flat,2726,11.0,19.1,3.0,34.4,10.9,21.6,14.0,9.09,0.326,67.7
low,NY_pre_open,high,down,3578,11.5,24.7,2.5,37.3,7.9,16.1,14.0,10.68,0.181,62.2
low,Asia_late,mid,up,379,9.8,15.0,4.2,33.2,12.1,25.6,14.0,8.64,0.167,67.8
low,Other,high,down,7679,11.8,21.4,2.1,32.8,9.9,22.0,14.0,6.92,0.207,65.6
low,NY_pre_open,high,flat,532,11.7,21.4,2.3,41.2,8.6,14.8,13.9,9.51,0.175,62.4
high,NY_open,mid,down,36,11.1,22.2,2.8,36.1,8.3,19.4,13.9,-11.71,-0.144,44.4
low,Asia_late,high,up,160,8.8,18.1,5.0,35.6,10.6,21.9,13.8,21.07,0.142,68.8
low,Asia_late,mid,down,5978,11.7,23.6,2.1,25.1,13.3,24.2,13.8,18.52,0.412,78.5
high,NY_pre_open,high,up,3167,11.0,24.9,2.5,38.5,7.3,15.8,13.5,13.06,0.222,59.8
high,Asia_late,high,up,453,9.7,13.5,3.8,30.9,11.3,30.9,13.5,21.89,0.217,68.2
low,NY_open,high,down,1495,11.2,22.7,2.3,36.7,10.1,17.1,13.4,10.11,0.176,64.5
high,EU_late,high,down,314,10.5,24.2,2.9,44.9,3.5,14.0,13.4,9.02,0.157,59.9
high,Asia_late,high,down,216,9.3,16.2,3.7,37.0,7.9,25.9,13.0,16.79,0.181,61.6
high,NY_open,high,down,509,10.0,20.4,2.9,42.8,8.3,15.5,13.0,17.26,0.241,60.3
high,Other,high,down,2043,9.9,18.4,3.0,39.9,9.3,19.4,13.0,5.87,0.186,59.5
high,NY_open,mid,up,286,10.8,23.8,2.1,23.1,13.3,26.9,12.9,21.46,0.359,72.7
high,NY_open,high,up,1298,11.2,22.4,1.7,38.4,9.5,16.8,12.9,12.54,0.216,59.2
high,NY_pre_open,high,flat,545,10.1,23.1,2.8,38.3,7.5,18.2,12.8,8.74,0.159,57.2
low,NY_open,high,up,464,9.9,21.3,2.6,45.5,5.8,14.9,12.5,13.07,0.2,64.7
high,Other,high,flat,916,9.9,21.0,2.5,38.9,8.8,18.9,12.4,6.49,0.196,59.7
low,NY_pre_open,high,up,1197,9.9,22.7,2.4,43.2,6.9,14.9,12.4,7.25,0.112,59.1
low,Asia_late,high,flat,68,7.4,16.2,4.4,29.4,5.9,36.8,11.8,9.41,0.088,64.7
low,Asia_late,mid,flat,744,8.6,18.5,3.0,30.9,12.8,26.2,11.6,13.44,0.258,71.2
low,Other,high,flat,883,8.2,22.7,3.3,37.6,10.4,17.9,11.4,6.97,0.216,63.5
high,NY_open,high,flat,210,10.0,24.8,1.0,37.6,8.1,18.6,11.0,14.88,0.237,58.1
high,Asia_late,mid,down,455,7.9,17.8,2.6,34.7,11.9,25.1,10.5,10.46,0.181,64.4
high,Asia_late,high,flat,71,8.5,8.5,1.4,36.6,18.3,26.8,9.9,4.39,0.062,57.7
low,NY_open,mid,flat,41,2.4,14.6,2.4,58.5,4.9,17.1,4.9,9.5,0.136,63.4
