kind,slot,atr_bin,pre_dir,N,V_pct,W_pct,drift_pct,Lambda_pct,N_pct,flat_pct,v_drift_sum,w15_mean_disp,w15_sharpe,w15_wr
high,Asia_late,low,up,43,27.9,27.9,0.0,11.6,9.3,23.3,27.9,23.45,0.824,90.7
low,Other,low,down,496,23.4,25.4,2.6,17.9,14.9,15.7,26.0,10.11,0.556,88.9
high,Other,low,up,519,20.2,29.3,3.7,15.8,13.7,17.3,23.9,12.89,0.447,85.0
low,Other,low,flat,59,16.9,20.3,5.1,18.6,16.9,22.0,22.0,5.52,0.567,81.4
low,EU_late,high,up,268,13.8,20.5,4.9,41.4,7.8,11.6,18.7,5.83,0.085,58.2
low,NY_pre_open,mid,flat,294,15.3,25.2,3.1,43.2,4.4,8.8,18.4,7.29,0.131,59.5
low,NY_pre_open,mid,down,1678,14.1,27.0,3.8,40.2,4.8,10.2,17.9,13.3,0.208,62.0
low,EU_late,high,flat,96,12.5,24.0,5.2,38.5,8.3,11.5,17.7,6.32,0.113,54.2
high,Other,low,flat,58,17.2,31.0,0.0,19.0,10.3,22.4,17.2,15.59,0.552,86.2
low,EU_late,high,down,957,13.5,23.8,3.7,37.4,6.4,15.3,17.1,6.9,0.139,59.1
low,EU_late,mid,up,411,14.1,19.7,2.9,39.4,5.8,18.0,17.0,5.69,0.155,64.2
high,EU_late,mid,flat,526,12.4,21.3,4.6,33.1,8.9,19.8,16.9,5.08,0.098,62.0
high,EU_late,high,flat,107,13.1,22.4,3.7,39.3,10.3,11.2,16.8,3.74,0.086,52.3
low,EU_late,mid,down,4039,14.3,24.5,2.5,31.6,9.4,17.7,16.8,9.61,0.251,69.3
high,NY_pre_open,mid,up,1770,13.6,28.3,3.2,37.3,5.9,11.6,16.8,11.44,0.181,60.8
low,Other,mid,down,20337,14.0,22.1,2.7,27.0,12.5,21.7,16.7,10.26,0.355,75.2
high,NY_open,mid,flat,42,16.7,26.2,0.0,31.0,9.5,16.7,16.7,19.69,0.357,66.7
high,EU_late,high,up,722,13.2,20.6,3.3,42.0,6.8,14.1,16.5,9.52,0.161,55.4
high,EU_late,mid,up,4102,13.8,24.6,2.4,33.1,9.4,16.6,16.2,9.48,0.248,66.2
low,EU_late,mid,flat,518,12.0,20.1,4.2,39.2,7.9,16.6,16.2,8.78,0.188,66.2
high,NY_pre_open,mid,down,232,12.5,25.9,3.4,39.2,6.0,12.9,15.9,6.19,0.109,56.5
high,NY_pre_open,mid,flat,291,12.7,27.1,3.1,41.2,4.8,11.0,15.8,14.32,0.232,57.7
low,NY_open,mid,down,242,12.4,19.4,3.3,31.8,12.8,20.2,15.7,24.8,0.424,75.6
high,Asia_late,mid,flat,796,11.1,18.5,4.5,27.8,12.9,25.3,15.6,14.4,0.292,69.2
high,Other,mid,up,19998,13.0,21.7,2.6,27.5,12.4,22.9,15.6,9.84,0.343,73.3
low,Other,mid,up,1962,10.1,14.8,5.5,38.1,8.5,23.0,15.5,5.44,0.223,65.5
low,Other,mid,flat,2641,11.8,17.9,3.6,34.3,10.5,22.0,15.3,9.11,0.335,70.8
high,EU_late,mid,down,447,11.0,18.8,4.3,41.4,8.1,16.6,15.2,5.97,0.17,56.4
low,NY_open,high,flat,206,12.6,18.0,2.4,41.3,9.2,16.5,15.0,9.87,0.158,65.5
high,Asia_late,mid,up,5619,12.5,22.2,2.2,25.9,13.2,24.0,14.7,17.36,0.354,75.4
high,Other,mid,down,2059,10.6,16.4,4.1,36.4,10.3,22.2,14.7,5.5,0.201,61.0
low,Other,high,up,1715,10.7,17.8,3.8,40.1,9.3,18.3,14.6,4.86,0.197,62.9
high,Other,high,up,6302,12.0,20.3,2.6,33.0,10.9,21.3,14.6,7.21,0.228,64.7
low,Asia_late,high,down,772,12.0,19.9,2.6,27.3,12.6,25.5,14.6,14.14,0.205,68.9
