kind,slot,atr_bin,pre_dir,N,V_pct,W_pct,drift_pct,Lambda_pct,N_pct,flat_pct,v_drift_sum,w15_mean_disp,w15_sharpe,w15_wr
high,NY_pre_open,high,flat,804,11.9,21.0,2.9,40.0,7.2,16.9,14.8,8.2,0.262,61.3
high,NY_open,high,up,2162,11.9,23.9,2.7,36.2,7.6,17.6,14.7,9.48,0.271,62.9
low,NY_pre_open,high,flat,798,11.7,21.2,2.9,39.0,8.3,17.0,14.5,5.37,0.177,60.4
high,Asia_late,mid,flat,4687,12.0,17.6,2.2,35.4,11.1,21.7,14.2,5.91,0.302,65.6
high,Asia_late,mid,down,3130,11.0,15.9,3.1,38.2,9.3,22.6,14.0,4.97,0.246,61.2
low,Asia_late,high,down,3537,11.8,19.9,2.1,31.0,12.0,23.3,13.9,5.96,0.154,66.3
high,Asia_late,high,down,936,10.4,12.6,3.4,40.4,9.9,23.3,13.8,6.69,0.157,61.2
high,Asia_late,high,up,2426,11.4,15.6,2.1,32.9,13.3,24.7,13.5,6.76,0.191,64.6
high,NY_open,mid,flat,516,10.3,20.0,3.1,32.6,11.8,22.3,13.4,11.01,0.397,69.6
low,Asia_late,high,flat,317,10.4,17.7,2.8,36.0,9.5,23.7,13.2,9.19,0.298,68.5
low,NY_open,high,up,700,9.7,22.9,3.3,41.9,7.4,14.9,13.0,4.41,0.128,57.0
low,Asia_late,high,up,657,9.1,15.8,3.2,37.3,10.8,23.7,12.3,5.94,0.162,64.2
high,NY_open,mid,down,262,6.5,15.6,5.3,44.3,7.3,21.0,11.8,10.6,0.309,63.7
low,NY_open,mid,up,206,5.8,15.5,3.4,41.3,12.1,21.8,9.2,5.25,0.203,68.0
