kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
15,4.876642697743615,4.1000000000000005,1.1894250482301498
9,4.523927597322093,4.045,1.1183999004504557
14,4.586536077361766,4.109999999999999,1.1159455176062691
19,4.796057525415324,4.390000000000001,1.0924960194567934
20,4.7830399206546,4.51,1.060541002362439
13,4.5047111331515,4.26,1.0574439279698358
10,4.1327795685593856,3.925,1.0529374696966587
21,4.745226878254401,4.58,1.0360757376101313
12,4.021819985122738,3.925,1.0246675121331816
8,4.344780560376891,4.2700000000000005,1.0175130117978666
18,4.743367220431441,4.675,1.0146240043703618
3,4.665261591867097,4.6,1.0141873025798038
22,4.3931316637738655,4.345000000000001,1.0110774830319598
16,4.5908752789486735,4.569999999999999,1.004567894737128
11,4.106744359037937,4.125,0.995574390069803
2,4.523927597322093,4.55,0.9942698016092512
1,4.464418546987354,4.515000000000001,0.9887970203737217
17,4.6262087775849245,4.73,0.9780568240137261
7,4.045995536821225,4.185,0.9667850745092534
0,4.359657822960576,4.715,0.9246358055059546
23,4.3286635259112325,4.915,0.8807046848242589
6,2.2929580957103894,2.7199999999999998,0.8429992998935256
4,2.7299776841061245,3.7350000000000003,0.730917719974866
5,0.8132903545747583,1.505,0.5403922621759192
