feature,n_event,n_base,mean_event,mean_base,median_event,median_base,cohens_d,abs_d,magnitude
stoch_d,30669,19994,83.80614193423727,52.44917745162339,87.40310051702136,53.70370440374607,1.6022926053353914,1.6022926053353914,large
bb_pctb,30671,19993,89.85723520906843,51.67605565371302,91.77967113216091,53.48747439392518,1.4371303842217178,1.4371303842217178,large
stoch_k,30671,19994,82.11075212261007,52.37747935715287,85.4545494206612,53.75831141862237,1.3755905176278973,1.3755905176278973,large
pre_5_disp_atr,30671,20000,1.7828585670841541,0.030263821737711145,1.6968713932251176,0.0,1.334024128311358,1.334024128311358,large
dist_to_ema20_atr,30671,20000,1.6950006006142262,0.08530678692294397,1.6514830970059848,0.11379891797327904,1.3328204958439525,1.3328204958439525,large
rsi14,30671,20000,64.01259056497565,50.962762580773514,64.129719606527,51.14449659759534,1.2575441987500344,1.2575441987500344,large
dist_to_hh20_atr,30670,20000,0.4349841392677847,2.196204481350011,0.2989877401666715,1.874035798978646,-1.2422453463170637,1.2422453463170637,large
dist_to_ll20_atr,30670,20000,4.535819375331958,2.5051049001546986,4.316282768365369,2.241790103455286,1.170099997920238,1.170099997920238,large
pre_15_disp_atr,30671,20000,2.5372598158425,0.13496874021544156,2.557768238343658,0.17457416616429436,1.0715205928544562,1.0715205928544562,large
mfi14,30602,19988,68.68266422501542,50.93204261473439,70.51343163692692,50.92251237531733,1.039461821815726,1.039461821815726,large
dist_to_ema50_atr,30668,20000,2.2415997278953705,0.2499878400320908,2.2350974017414478,0.280260816950049,0.9519366939075075,0.9519366939075075,large
upper_wick_to_atr,30671,20000,0.5349227515952403,0.23403022702244156,0.46012508493320176,0.17923903401353616,0.8835250446485525,0.8835250446485525,large
vol_z,30671,20000,1.0249883986907127,0.06850406315783514,0.7808750443473539,-0.24015197731926408,0.7378993933846316,0.7378993933846316,medium
pre_30_disp_atr,30670,20000,2.6250701855143808,0.29226702756186207,2.6643193906244425,0.26257430161446643,0.6922553787617206,0.6922553787617206,medium
rvol,30667,20000,2.3390862029707007,1.3347644014325,1.4518462084368282,0.8097728026477564,0.36275506522929946,0.36275506522929946,small
dist_to_ema200_atr,30666,20000,3.264870826617588,1.1713629534852015,3.0495455261383473,0.9867121939539117,0.34183387421804845,0.34183387421804845,small
atr_ratio,30670,20000,1.0579655666584418,1.008889574432174,1.0182484067220905,0.9736508473137531,0.24815624154980992,0.24815624154980992,small
body_to_atr,30671,20000,0.6231752100581943,0.49491341226194235,0.48937067078640034,0.3849768213311599,0.24711473150139524,0.24711473150139524,small
lower_wick_to_atr,30671,20000,0.19341229126844636,0.23846746013527573,0.13223468128986784,0.18345993886131284,-0.18489612686817192,0.18489612686817192,tiny
bb_width_pct,30671,20000,0.4468680016200993,0.39472241794361235,0.3145877274186275,0.2682962111895324,0.11894578418132952,0.11894578418132952,tiny
above_pct,30668,20000,57.8458327898787,57.2869,70.0,68.0,0.013501164582066018,0.013501164582066018,negligible
slope_pct,30658,20000,0.07740626299227202,0.08588619775358643,0.12819145294480333,0.14741247139530117,-0.008006940426988256,0.008006940426988256,negligible
