kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
15,5.449491105635892,4.1000000000000005,1.329144172106315
21,5.917106332477651,4.58,1.2919446140780897
9,4.701629235948969,4.045,1.1623310842889911
13,4.924472078533559,4.26,1.1559793611581124
14,4.743230866474891,4.109999999999999,1.154070770431847
8,4.807407025193173,4.2700000000000005,1.125856446181071
20,5.045729544252525,4.51,1.1187870386369236
19,4.811921930831645,4.390000000000001,1.096109779232721
12,4.077927271320029,3.925,1.0389623621197528
16,4.747745772113363,4.569999999999999,1.0388940420379351
22,4.474916474245688,4.345000000000001,1.0299002242222526
11,4.182737580784561,4.125,1.0139969892811058
18,4.670347389739554,4.675,0.9990047892491025
10,3.8644367332722744,3.925,0.9845698683496241
3,4.46072677081049,4.6,0.9697232110457589
7,4.040840546432579,4.185,0.9655532966386092
17,4.417190180725223,4.73,0.9338668458192859
2,4.194024844880742,4.55,0.9217637021715916
1,3.953122379742263,4.515000000000001,0.8755531295110216
6,2.2755124417899664,2.7199999999999998,0.8365854565404289
0,3.6519136750041925,4.715,0.7745310021217799
23,3.495826937217012,4.915,0.7112567522313351
4,2.448368829091472,3.7350000000000003,0.6555204361690687
5,0.6433740534822823,1.505,0.42749106543673243
