feature,n_event,n_base,mean_event,mean_base,median_event,median_base,cohens_d,abs_d,magnitude
stoch_d,27891,19994,17.389576733579307,52.44917745162339,13.775989767932613,53.70370440374607,-1.7521342716025574,1.7521342716025574,large
bb_pctb,27894,19993,8.708178620281242,51.67605565371302,6.3891262985100985,53.48747439392518,-1.58601892564351,1.58601892564351,large
stoch_k,27894,19994,19.276695661363426,52.37747935715287,16.216216115072136,53.75831141862237,-1.498378445002327,1.498378445002327,large
pre_5_disp_atr,27894,20000,-1.947978883677447,0.030263821737711145,-1.8690048346186412,0.0,-1.4735832755366092,1.4735832755366092,large
dist_to_ema20_atr,27894,20000,-1.719931464353728,0.08530678692294397,-1.6573802621663942,0.11379891797327904,-1.460791613290706,1.460791613290706,large
rsi14,27894,20000,36.24599496126064,50.962762580773514,36.22469886586207,51.14449659759534,-1.3981187127756969,1.3981187127756969,large
dist_to_ll20_atr,27894,20000,0.478711622393389,2.5051049001546986,0.3580997950148268,2.241790103455286,-1.3526634539937412,1.3526634539937412,large
dist_to_hh20_atr,27894,20000,4.386278890052398,2.196204481350011,4.175901698198418,1.874035798978646,1.296148993238541,1.296148993238541,large
pre_15_disp_atr,27894,20000,-2.524841789879095,0.13496874021544156,-2.509510153361769,0.17457416616429436,-1.1799899311017135,1.1799899311017135,large
mfi14,27893,19988,31.317799858903697,50.93204261473439,29.850443725310384,50.92251237531733,-1.1490420384434874,1.1490420384434874,large
dist_to_ema50_atr,27894,20000,-2.021270155939778,0.2499878400320908,-2.0212568882826756,0.280260816950049,-1.0823029336384977,1.0823029336384977,large
lower_wick_to_atr,27894,20000,0.5913703299474559,0.23846746013527573,0.5235253645426201,0.18345993886131284,1.0089979111934924,1.0089979111934924,large
vol_z,27894,20000,1.207106666518224,0.06850406315783514,1.0478242093824897,-0.24015197731926408,0.901976786140146,0.901976786140146,large
pre_30_disp_atr,27894,20000,-2.3578229286964594,0.29226702756186207,-2.396132773349198,0.26257430161446643,-0.7949697421822873,0.7949697421822873,medium
rvol,27893,20000,2.5661114121484423,1.3347644014325,1.6638588240997734,0.8097728026477564,0.43378877257265924,0.43378877257265924,small
dist_to_ema200_atr,27889,20000,-1.4861116459895516,1.1713629534852015,-1.7563959769349633,0.9867121939539117,-0.43362312545042614,0.43362312545042614,small
atr_ratio,27894,20000,1.100938449390085,1.008889574432174,1.0557774716185473,0.9736508473137531,0.41379536239977366,0.41379536239977366,small
body_to_atr,27894,20000,0.6660343855767427,0.49491341226194235,0.5296273827243345,0.3849768213311599,0.3240582508714769,0.3240582508714769,small
bb_width_pct,27894,20000,0.4740766793153778,0.39472241794361235,0.32419664659262715,0.2682962111895324,0.17414618810650712,0.17414618810650712,tiny
upper_wick_to_atr,27894,20000,0.2064092223697587,0.23403022702244156,0.14429767189937237,0.17923903401353616,-0.11354175938426275,0.11354175938426275,tiny
above_pct,27894,20000,54.91983939198394,57.2869,64.0,68.0,-0.05685146805673693,0.05685146805673693,negligible
slope_pct,27883,20000,0.04951464946997639,0.08588619775358643,0.1115530752625661,0.14741247139530117,-0.03383384941950809,0.03383384941950809,negligible
