kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
15,4.900062804716181,4.1000000000000005,1.1951372694429707
9,4.538773818850479,4.045,1.1220701653524052
19,4.920134415042053,4.390000000000001,1.12075954784557
14,4.518702208524608,4.109999999999999,1.0994409266483232
13,4.5692049699897055,4.26,1.0725833262886633
20,4.823661191217699,4.51,1.0695479359684477
8,4.557550486574683,4.2700000000000005,1.0673420343266236
21,4.817833949510188,4.58,1.0519288099367223
10,4.125039657617176,3.925,1.0509655178642487
16,4.7038790005633,4.569999999999999,1.0292951861188842
3,4.699994172758293,4.6,1.0217378636431074
18,4.764741302841752,4.675,1.0191960006078613
12,3.9787111436285585,3.925,1.0136843678034544
11,4.167772763472259,4.125,1.0103691547811537
22,4.389207948357689,4.345000000000001,1.0101744415092493
1,4.402157374374381,4.515000000000001,0.975007170404071
17,4.587981637713908,4.73,0.9699749762608685
2,4.364604038925974,4.55,0.9592536349287856
7,3.921733669155115,4.185,0.9370928719606011
0,4.210505869327342,4.715,0.8930023052656081
6,2.4260749642272104,2.7199999999999998,0.8919393250835334
23,4.165830349569755,4.915,0.8475748422318932
4,2.6883008410652196,3.7350000000000003,0.719759261329376
5,0.7575414219764709,1.505,0.5033497820441667
