kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
21,6.230730623073062,4.465,1.3954603859066208
15,5.98336559833656,4.43,1.3506468619269887
16,5.696565569656557,4.335,1.3140866365989752
22,5.330895533089553,4.2700000000000005,1.2484532864378342
13,5.2090055209005515,4.18,1.2461735695934335
14,5.05485050548505,4.075,1.2404541117754724
20,5.459955545995554,4.62,1.1818085597392975
3,4.742955474295547,4.1000000000000005,1.1568184083647675
19,5.05485050548505,4.51,1.1208094247195235
9,4.4203054420305445,4.275,1.0339895770831682
18,4.660500466050046,4.52,1.0310841739048777
17,4.499175449917545,4.475,1.005402335177105
23,4.341435434143543,4.45,0.9756034683468636
2,4.133505413350541,4.29,0.9635210753730864
10,3.8502903850290386,4.2299999999999995,0.910234133576605
11,3.8216103821610385,4.25,0.8992024428614208
0,3.8682153868215385,4.375,0.8841635169877803
1,3.8574603857460388,4.6850000000000005,0.8233640097643625
4,2.903850290385029,3.66,0.7934017186844342
12,3.423675342367534,4.390000000000001,0.7798804880108278
8,3.488205348820535,4.4799999999999995,0.7786172653617266
6,1.4519251451925146,2.82,0.5148670727633031
5,0.6811500681150069,1.6,0.4257187925718793
7,1.8355201835520183,4.515000000000001,0.40653824663389104
