feature,n_event,n_base,mean_event,mean_base,median_event,median_base,cohens_d,abs_d,magnitude
stoch_d,154443,19997,16.676682828084797,51.30957359179849,13.055553992126471,51.69872104206407,-2.2600091259351163,2.2600091259351163,large
stoch_k,154447,19997,17.14917664835638,51.357369422233944,14.285721342440787,51.744186797229325,-2.044121869127178,2.044121869127178,large
bb_pctb,154446,19997,8.493880121909758,51.00861553641969,6.471628783297218,52.08736515766458,-1.9302631018208605,1.9302631018208605,large
pre_5_disp_atr,154447,20000,-2.103568755961067,0.026687490737637893,-2.0104737737221723,0.0,-1.6182495633817053,1.6182495633817053,large
dist_to_ll20_atr,154447,20000,0.39650828825175305,2.59052533761278,0.2571488609880492,2.3080098860915035,-1.608488280877998,1.608488280877998,large
dist_to_ema20_atr,154447,20000,-1.846585062434433,0.05506551766951353,-1.7664020723416705,0.0824917509475583,-1.5832567286967423,1.5832567286967423,large
rsi14,154447,20000,36.63768596591376,50.56616592110686,36.74198875538776,50.727405148216015,-1.5199811162095291,1.5199811162095291,large
dist_to_hh20_atr,154447,20000,4.6995490749948035,2.388712997414958,4.429339334060623,2.086382702468883,1.3113153221134421,1.3113153221134421,large
pre_15_disp_atr,154447,20000,-2.64100668650333,0.08333488764791505,-2.607020126307737,0.0,-1.2051889015006967,1.2051889015006967,large
dist_to_ema50_atr,154446,20000,-2.1676824644563255,0.1510709923887247,-2.1371979063486783,0.1926217599754883,-1.0824539340645625,1.0824539340645625,large
mfi14,154447,19991,32.41903278421723,50.62151741106795,30.655552030571187,50.78909139758672,-1.0807287699874994,1.0807287699874994,large
vol_z,154447,20000,1.032537318660318,5.213293226775066e-05,0.793516490553631,-0.31135069734732246,0.8087920381935664,0.8087920381935664,large
pre_30_disp_atr,154446,20000,-2.5003656411037025,0.17662881652620332,-2.5244252862044965,0.03754115077228609,-0.7810324191500155,0.7810324191500155,medium
lower_wick_to_atr,154447,20000,0.5217282829850474,0.20140709414667113,0.46416385077273475,0.12443375161604928,0.7620533602603132,0.7620533602603132,medium
body_to_atr,154447,20000,0.7007496069483992,0.49627616837631994,0.5778554085542695,0.40182485227461545,0.341906612719148,0.341906612719148,small
atr_ratio,154446,20000,1.0551448602689197,1.0063154622640629,1.0266175438968719,0.9826978310916156,0.2781432465482149,0.2781432465482149,small
rvol,154437,20000,2.3361606747429096,1.3473903434974426,1.301322482197355,0.6905653356839011,0.26964374803520474,0.26964374803520474,small
upper_wick_to_atr,154447,20000,0.1673639729016518,0.20366497371134454,0.0689824252187603,0.12894108651038264,-0.14853561145514838,0.14853561145514838,tiny
bb_width_pct,154447,20000,0.20274164391849492,0.17892152932779848,0.1352001485007992,0.12027887577679491,0.11014085707416443,0.11014085707416443,tiny
dist_to_ema200_atr,154441,20000,-1.887845764146957,-0.1086063555996473,-2.0344484823439157,0.6051241201553051,-0.06579565632652178,0.06579565632652178,negligible
above_pct,154446,20000,53.316162283257576,54.7325,60.0,62.0,-0.03447959181695244,0.03447959181695244,negligible
slope_pct,154400,19999,0.0612232306877088,0.0785930568840771,0.12486054685727083,0.13803933618424294,-0.0133505177075331,0.0133505177075331,negligible
