kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
14,5.484007694564898,4.075,1.345768759402429
21,5.9665482051449255,4.465,1.3362929910738914
15,5.78396530924978,4.43,1.3056355099886636
22,5.262299892406508,4.2700000000000005,1.2323887335846622
3,4.994946366274331,4.1000000000000005,1.2182796015303246
20,5.598122004499364,4.62,1.2117147195886069
13,5.043852499103388,4.18,1.2066632772974615
16,4.98516513970852,4.335,1.149980424384895
19,4.854748785497701,4.51,1.0764409723941688
2,4.535228717681197,4.29,1.0571628712543584
9,4.48632258485214,4.275,1.0494321835911438
18,4.600436894786606,4.52,1.0177957731828775
23,4.473280949431058,4.45,1.0052316740294511
17,4.4700205405757885,4.475,0.9988872716370478
10,3.984219621140491,4.2299999999999995,0.9418958915225748
11,3.817938769521698,4.25,0.8983385340051054
0,3.9222718528903524,4.375,0.896519280660652
1,3.9222718528903524,4.6850000000000005,0.8371978341281434
4,3.0028365557040853,3.66,0.8204471463672364
12,3.485377066284112,4.390000000000001,0.7939355504064036
8,3.322356623520589,4.4799999999999995,0.7415974606072744
5,0.8379250758045058,1.6,0.523703172377816
6,1.3172051775292621,2.82,0.4670940345848448
7,1.8486518209383456,4.515000000000001,0.4094466934525682
