feature,n_event,n_base,mean_event,mean_base,median_event,median_base,cohens_d,abs_d,magnitude
stoch_k,310084,19997,27.703215713254814,51.357369422233944,22.2222222222035,51.744186797229325,-1.0489729340130054,1.0489729340130054,large
pre_5_disp_atr,310084,20000,-1.3693365343099302,0.026687490737637893,-1.332468162244369,0.0,-0.9273153518171465,0.9273153518171465,large
bb_pctb,310084,19997,23.276138461265738,51.00861553641969,17.486453929949576,52.08736515766458,-0.9244481684549287,0.9244481684549287,large
dist_to_ema20_atr,310084,20000,-1.139658288105027,0.05506551766951353,-1.1192799214879818,0.0824917509475583,-0.840430665320121,0.840430665320121,large
dist_to_ll20_atr,310084,20000,1.1620970652311549,2.59052533761278,0.8077519480132751,2.3080098860915035,-0.8149040188333411,0.8149040188333411,large
stoch_d,310080,19997,32.49489809134117,51.30957359179849,25.82491090495258,51.69872104206407,-0.8006861106135506,0.8006861106135506,large
rsi14,310084,20000,42.030067021753695,50.56616592110686,41.86609335523947,50.727405148216015,-0.7797168666574159,0.7797168666574159,medium
dist_to_hh20_atr,310084,20000,3.7386187117208287,2.388712997414958,3.432301805330547,2.086382702468883,0.7212824441616564,0.7212824441616564,medium
lower_wick_to_atr,310084,20000,0.5111739715597812,0.20140709414667113,0.4519782275741523,0.12443375161604928,0.7095757884700651,0.7095757884700651,medium
vol_z,310084,20000,0.8716460177834953,5.213293226775066e-05,0.5950788500314627,-0.31135069734732246,0.6846221754143258,0.6846221754143258,medium
dist_to_ema50_atr,310081,20000,-1.2447496098730995,0.1510709923887247,-1.2505617105723503,0.1926217599754883,-0.6010002018256126,0.6010002018256126,medium
pre_15_disp_atr,310084,20000,-1.4430639193618624,0.08333488764791505,-1.4588990044745884,0.0,-0.5889881639598957,0.5889881639598957,medium
mfi14,310078,19991,40.59283063219057,50.62151741106795,39.43151248977141,50.78909139758672,-0.5301954354049114,0.5301954354049114,medium
pre_30_disp_atr,310082,20000,-1.3791786932218344,0.17662881652620332,-1.4290929058453252,0.03754115077228609,-0.43034607026255156,0.43034607026255156,small
atr_ratio,310082,20000,1.0868972312775644,1.0063154622640629,1.043080574116007,0.9826978310916156,0.39606211495805294,0.39606211495805294,small
body_to_atr,310084,20000,0.7209097092657211,0.49627616837631994,0.5996216842348294,0.40182485227461545,0.36557947409020847,0.36557947409020847,small
rvol,310062,20000,2.4347780135279433,1.3473903434974426,1.1752549786400008,0.6905653356839011,0.2502988509177028,0.2502988509177028,small
upper_wick_to_atr,310084,20000,0.164632420101849,0.20366497371134454,0.05174820650699521,0.12894108651038264,-0.15815199554875306,0.15815199554875306,tiny
dist_to_ema200_atr,310073,20000,-0.8797210527905273,-0.1086063555996473,-0.9808568438372618,0.6051241201553051,-0.03861624362786372,0.03861624362786372,negligible
above_pct,310081,20000,53.88571373286335,54.7325,60.0,62.0,-0.02061123325431278,0.02061123325431278,negligible
slope_pct,310000,19999,0.09230588706282583,0.0785930568840771,0.1502371687913417,0.13803933618424294,0.010818490880855096,0.010818490880855096,negligible
bb_width_pct,310084,20000,0.17813013259091837,0.17892152932779848,0.11809199204499825,0.12027887577679491,-0.003980735463086987,0.003980735463086987,negligible
