kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
15,5.4933686047387225,4.1000000000000005,1.3398460011557858
21,5.909488248139575,4.58,1.29028127688637
9,4.767532845950609,4.045,1.1786236949198046
14,4.8123860254517234,4.109999999999999,1.170896843175602
13,4.972482410678331,4.26,1.167249392178012
20,5.079868125104357,4.51,1.1263565687592811
8,4.787503969670084,4.2700000000000005,1.1211953090562257
19,4.862477532485816,4.390000000000001,1.1076258616140808
12,4.139915728405813,3.925,1.0547555995938378
16,4.717113943445706,4.569999999999999,1.0321912348896514
11,4.215216686692356,4.125,1.0218707119254198
22,4.407397828058446,4.345000000000001,1.0143608349961901
18,4.679790859773246,4.675,1.0010247828391972
10,3.875380187990479,3.925,0.9873580096791029
7,4.101610458320919,4.185,0.980074183589228
3,4.455852357738483,4.6,0.9686635560301051
17,4.459453707917405,4.73,0.9428020524138275
2,4.1438444740555465,4.55,0.9107350492429773
1,3.9058279667759077,4.515000000000001,0.8650781764730692
6,2.191585281609214,2.7199999999999998,0.805729882944564
0,3.563699699778353,4.715,0.7558217815012415
23,3.3535118075176547,4.915,0.68230148677877
4,2.4315661617137185,3.7350000000000003,0.6510217300438336
5,0.6731250879875328,1.505,0.44725919467610153
